Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,class
38934,723.995,261.3002198,190.7763646,1.369667675,0.683335926,39382,222.6483964,0.816722955,0.988624245,0.93339991,0.852078872,0.006711363,0.002182276,0.726038403,0.994431332,2
36192,698.107,255.2130666,181.1455116,1.408884296,0.704421913,36550,214.6650545,0.71202046,0.990205198,0.933208018,0.84112094,0.007051643,0.002177228,0.707484435,0.996763711,2
22461,544.584,192.8013032,148.5411365,1.29796572,0.637516899,22699,169.1101222,0.77473096,0.989514957,0.951720002,0.877121261,0.008583825,0.003134001,0.769341707,0.998579162,2
68210,1068.247,374.5396102,235.4399837,1.590807153,0.777719308,70112,294.6992863,0.779721079,0.972871976,0.751129035,0.786830761,0.005490978,0.001298239,0.619102646,0.984872917,0
36195,699.591,261.4687209,176.6958647,1.479767064,0.737101512,36553,214.6739512,0.79432484,0.990206002,0.929330129,0.821031099,0.007223891,0.002024834,0.674092065,0.997499236,2
44937,775.198,275.443937,208.5318545,1.320872236,0.653327404,45290,239.1977538,0.774175209,0.992205785,0.939698757,0.868408128,0.006129558,0.002150327,0.754132677,0.996112916,4
39056,740.619,279.9230087,178.0675717,1.572004414,0.77158146,39445,222.9969589,0.787689329,0.990138167,0.894762815,0.796636761,0.007167222,0.001780623,0.634630128,0.997641363,2
67623,992.572,370.4864029,233.25416,1.588337816,0.776928378,68500,293.4284883,0.684554179,0.98719708,0.862542013,0.792008792,0.005478704,0.001329773,0.627277926,0.996329251,0
31972,661.829,243.9211798,167.5224022,1.45605111,0.726856769,32321,201.7622728,0.799180123,0.989202067,0.917250764,0.827161762,0.007629212,0.002203034,0.68419658,0.99622519,2
29462,626.054,229.7488822,163.585807,1.404454863,0.702159149,29730,193.6806223,0.779603609,0.990985536,0.944601215,0.843010075,0.007798143,0.002429417,0.710665986,0.9980983,2
34606,685.57,255.5389075,172.8919483,1.478026652,0.73637117,34927,209.9088557,0.709793867,0.990809402,0.92524694,0.821435991,0.007384237,0.002073864,0.674757087,0.997308958,2
36899,735.698,278.228234,169.2945686,1.643456351,0.793574024,37354,216.7516227,0.7494922,0.987819243,0.85669318,0.779042514,0.007540265,0.001713212,0.606907238,0.997425555,2
26627,603.953,215.5059894,157.9782946,1.364149359,0.680166608,27005,184.1264494,0.816904433,0.986002592,0.917330464,0.854391332,0.008093514,0.002660383,0.729984549,0.995807954,2
26466,610.166,222.1737253,152.2590895,1.459182017,0.728246329,26878,183.5689456,0.74480779,0.984671479,0.893309935,0.826240571,0.008394685,0.002413294,0.682673481,0.996144867,2
24425,579.59,216.6100061,143.9506413,1.504751935,0.747233693,24744,176.3487337,0.803877041,0.987107986,0.913697989,0.814130136,0.008868373,0.00240325,0.662807879,0.997361438,2
30510,649.748,242.2341796,160.6429484,1.507904218,0.748466948,30885,197.0952524,0.771936039,0.987858184,0.908159581,0.81365583,0.007939501,0.002146525,0.662035809,0.998286589,2
48597,821.543,313.7206419,197.823364,1.585862436,0.776130987,48998,248.7481099,0.752566783,0.991815992,0.904812778,0.792896854,0.006455556,0.001573911,0.62868542,0.997008592,5
28707,618.462,222.2300722,164.9902335,1.346928649,0.669923843,29016,191.1828643,0.76028921,0.989350703,0.943130158,0.8602925,0.00774132,0.002615648,0.740103185,0.996866183,2
23689,575.638,205.9678003,146.7475015,1.403552348,0.701694572,24018,173.6714472,0.765272169,0.98630194,0.898375047,0.843197077,0.00869466,0.00271112,0.710981311,0.997899489,2
39560,765.067,283.5270612,178.1061085,1.591899703,0.778067823,40096,224.4311841,0.6975842,0.986632083,0.849311897,0.79156883,0.007167014,0.001735692,0.626581213,0.997454446,2
39812,751.526,284.4449973,178.767467,1.591145202,0.777827236,40221,225.1448706,0.795603517,0.989831183,0.885800333,0.791523397,0.007144705,0.001729892,0.626509288,0.996867248,5
30994,650.335,238.2842684,165.9321726,1.436034162,0.717690461,31344,198.6524262,0.755803746,0.988833589,0.920901621,0.83367831,0.007688077,0.002290823,0.695019525,0.998071781,2
35452,703.811,265.0751975,170.5240572,1.554473907,0.765610455,35847,212.4591451,0.711202054,0.988980947,0.899370222,0.801505185,0.007477017,0.001903415,0.642410561,0.998610454,2
25107,582.701,212.8059295,150.6005117,1.413049179,0.706523629,25453,178.7938065,0.749686474,0.986406318,0.92920847,0.840173049,0.00847596,0.002605215,0.705890752,0.997458347,2
33476,691.826,258.8379709,165.2207601,1.566618934,0.769773342,33907,206.4533046,0.721154675,0.98728876,0.878920642,0.797615991,0.007732046,0.00193041,0.636191269,0.996669287,2
38374,742.778,272.2549253,180.2852668,1.510134079,0.749333451,38852,221.0413859,0.71644076,0.987696901,0.874035095,0.811891229,0.007094776,0.001901559,0.659167368,0.995431106,2
27740,628.02,226.9172302,156.0404649,1.454220419,0.726038868,28178,187.935268,0.781804859,0.984455959,0.883831288,0.828210656,0.008180145,0.002374127,0.68593289,0.997497615,2
30448,664.217,253.0739378,153.67161,1.646849003,0.794533583,30830,196.8948899,0.803207766,0.987609471,0.867258692,0.778013302,0.008311677,0.001878523,0.605304697,0.996845438,2
34948,697.453,264.444305,168.7444626,1.567128787,0.769945502,35262,210.9435365,0.700416867,0.99109523,0.902822342,0.797686063,0.007566794,0.001889817,0.636303055,0.997168835,2
38110,722.79,275.242115,176.4978348,1.559464542,0.767335582,38462,220.2797291,0.751646878,0.99084811,0.916694324,0.800312587,0.007222307,0.001827655,0.640500237,0.998837409,2
34927,692.204,245.0827289,182.0904644,1.345939391,0.669318607,35362,210.8801498,0.796619834,0.98769866,0.916015746,0.86044476,0.007016999,0.002372593,0.740365185,0.996486666,2
33669,678.182,247.9557613,173.2144082,1.431496166,0.71554191,33999,207.0475845,0.725031224,0.990293832,0.919914711,0.835018244,0.007364512,0.002208552,0.697255468,0.99811853,2
38128,722.321,267.0205808,182.4954431,1.463163004,0.72999653,38567,220.3317439,0.735905503,0.988617212,0.918318654,0.82514892,0.007003267,0.002002672,0.68087074,0.996224878,2
36287,707.487,266.8533263,173.7133929,1.536170135,0.759103833,36629,214.9466058,0.700994881,0.990663136,0.911011796,0.805485953,0.007353965,0.00190956,0.64880762,0.99667889,2
24647,589.4,213.9009257,146.8934367,1.456163941,0.726907047,25009,177.148342,0.714488636,0.985525211,0.891566345,0.828179408,0.008678579,0.002518408,0.685881131,0.998755372,2
61206,1003.509,359.4550303,219.1963153,1.639877157,0.79255397,62918,279.1592728,0.719089243,0.972789981,0.763767753,0.776618072,0.005872872,0.001317833,0.60313563,0.989068343,0
31154,656.672,237.4326626,167.8834479,1.414270827,0.707135411,31519,199.1645169,0.720490287,0.988419683,0.907876307,0.838825268,0.007621258,0.002327515,0.70362783,0.995120313,2
45816,814.284,311.1600595,188.0015362,1.655093175,0.796836048,46428,241.525864,0.699747995,0.986818299,0.868310857,0.77621101,0.006791515,0.001520777,0.602503532,0.997199484,5
34470,686.028,257.2430525,171.1692423,1.502857926,0.746487986,34893,209.4959835,0.784836066,0.987877225,0.920380617,0.814389277,0.00746281,0.002024931,0.663229894,0.996740304,2
37125,720.143,270.7608164,175.0295199,1.546943719,0.762968276,37570,217.4143926,0.746351172,0.988155443,0.899578028,0.802975835,0.007293221,0.00187029,0.644770191,0.997423197,2
33303,675.312,254.3762143,166.9242842,1.523901783,0.754578082,33627,205.9191505,0.72270567,0.990364885,0.917665252,0.80950631,0.007638237,0.00202327,0.655300466,0.998613548,2
23947,577.697,221.9711354,138.0963479,1.60736427,0.782908782,24185,174.6146253,0.784633028,0.99015919,0.901697268,0.786654648,0.009269267,0.002189584,0.618825535,0.994678054,2
37301,711.888,229.3815744,207.1091018,1.107539806,0.42984628,37731,217.9291359,0.781991614,0.988603536,0.924926014,0.950072544,0.006149475,0.003090615,0.902637838,0.999707336,4
32062,665.567,235.1189657,174.9852954,1.343649849,0.667910598,32539,202.0460499,0.809299038,0.985340668,0.909529757,0.859335398,0.007333259,0.002466764,0.738457326,0.992228074,2
60736,985.501,342.4453022,226.7417755,1.510287645,0.749392947,61680,278.0853772,0.789353296,0.984695201,0.785854079,0.812057795,0.005638259,0.00151242,0.659437863,0.995940857,0
45510,778.457,285.0243848,203.5342175,1.400375761,0.700049774,45877,240.7179505,0.782402393,0.992000349,0.943729309,0.844552127,0.006262896,0.001965445,0.713268296,0.998843633,4
32826,676.327,263.1153869,159.1207316,1.653558178,0.796410457,33130,204.4391384,0.815593321,0.990824027,0.901808612,0.776994233,0.008015457,0.001802101,0.603720039,0.998286207,2
25623,586.152,212.7174707,153.8165733,1.382929461,0.690740554,25883,180.6217508,0.721733987,0.989954797,0.937172073,0.849115732,0.008301818,0.002662076,0.720997526,0.997088719,2
28819,637.061,240.712885,153.1319163,1.571931514,0.771557137,29320,191.55545,0.741458269,0.982912688,0.892332546,0.795783948,0.008352576,0.002066241,0.633272092,0.995460359,2
25158,578.245,205.5950089,156.0930771,1.31713086,0.650827069,25507,178.9753069,0.763288835,0.986317481,0.945501461,0.870523598,0.008172152,0.002894932,0.757811334,0.998136695,2
30196,649.25,249.2407933,155.0719392,1.60725915,0.782876446,30558,196.078406,0.786845945,0.988153675,0.900192446,0.786702704,0.0082541,0.001950258,0.618901144,0.994734527,2
31493,661.651,246.483722,163.082581,1.511404348,0.749824906,31981,200.2451822,0.70735816,0.98474094,0.903994838,0.812407329,0.007826619,0.002103049,0.660005668,0.997535436,2
29505,632.744,237.818635,158.3588239,1.501770657,0.746058294,29835,193.8219099,0.761380058,0.988939165,0.926081933,0.814998833,0.008060282,0.002193603,0.664223097,0.997510757,2
26317,596.916,220.1624983,152.8293432,1.440577402,0.719814853,26624,183.0514821,0.794595411,0.98846905,0.928153495,0.831438068,0.00836579,0.002466075,0.69128926,0.995855686,2
63882,1004.206,411.2634035,198.7654528,2.069088957,0.875452319,64663,285.1965789,0.754704944,0.987921996,0.796054395,0.69346452,0.00643786,0.000918371,0.480893041,0.995010481,3
38306,726.994,259.0525365,188.8906579,1.371441761,0.684343626,38777,220.8454528,0.71314741,0.987853625,0.910783208,0.852512219,0.006762714,0.00220345,0.726777084,0.996732443,2
27612,619.436,235.4348097,149.7855249,1.57181283,0.771517529,27945,187.5011742,0.782253952,0.988083736,0.904304819,0.796403787,0.00852654,0.002115855,0.634258993,0.996936422,2
33525,686.675,247.8499092,173.2994965,1.430182512,0.714914916,33997,206.6043459,0.722365869,0.986116422,0.893462189,0.83358653,0.007392988,0.002201925,0.694866504,0.993785922,2
32781,674.424,260.4018626,160.8078929,1.619335083,0.786541507,33087,204.2989611,0.793075918,0.990751655,0.905661755,0.784552611,0.007943683,0.001856479,0.615522799,0.996737663,2
35755,709.456,263.2737943,173.2182828,1.519896111,0.75307061,36162,213.3651329,0.784307274,0.988745092,0.892679814,0.810430576,0.007363272,0.001959358,0.656797719,0.998264299,2
20786,534.717,200.9272409,132.1435531,1.520522464,0.753307314,21057,162.6823813,0.78941172,0.98713017,0.913551013,0.809658166,0.00966647,0.002562444,0.655546345,0.996772944,2
39998,720.425,251.3019462,202.8546516,1.238827625,0.59025779,40296,225.6701915,0.78868185,0.992604725,0.968435252,0.898004153,0.006282863,0.002520291,0.80641146,0.999004793,4
34909,698.071,263.9343971,168.8021781,1.563572225,0.768740253,35334,210.8258031,0.762871503,0.987971925,0.900218802,0.798781081,0.00756064,0.00189867,0.638051216,0.997639159,2
26861,604.427,215.9772288,158.7210484,1.360734641,0.678178582,27189,184.9337379,0.728967651,0.987936298,0.923941189,0.856264982,0.008040551,0.002666234,0.733189719,0.997676649,2
36766,750.839,285.5181836,164.4025316,1.736701867,0.817587717,37323,216.3606367,0.787567209,0.985076226,0.819525746,0.757782338,0.007765821,0.001579593,0.574234072,0.997273385,2
48856,831.807,314.0744965,198.5126219,1.582138675,0.774922839,49420,249.4100864,0.712810038,0.988587616,0.887324819,0.794111235,0.006428576,0.001576957,0.630612654,0.997716669,5
73147,1045.027,413.9886032,227.2404819,1.821808332,0.835884634,74156,305.1780677,0.759448067,0.986393549,0.841688436,0.737165384,0.00565968,0.001030935,0.543412803,0.989993973,1
26951,605.502,225.1993347,152.7396176,1.474400279,0.734838736,27309,185.2432967,0.793376509,0.986890769,0.923748155,0.822574795,0.00835588,0.002359791,0.676629294,0.99762242,2
30630,644.058,238.2480779,164.3594486,1.449555106,0.723936284,30924,197.4824733,0.757306038,0.990492821,0.927912238,0.828894298,0.007778259,0.002264951,0.687065757,0.995939676,2
86940,1118.525,379.3463316,292.3414042,1.297614112,0.637264528,88117,332.7092515,0.748450413,0.986642759,0.873249024,0.877059362,0.004363312,0.001592619,0.769233124,0.998167757,0
34869,717.611,255.63916,174.652912,1.46369824,0.730230435,35547,210.7049826,0.783080309,0.98092666,0.850885616,0.824228114,0.007331416,0.002087168,0.679351983,0.994366302,2
33459,676.412,248.4494555,171.8358142,1.445853745,0.722249229,33831,206.4008768,0.73542729,0.989004168,0.918967629,0.830756004,0.00742549,0.002181719,0.690155538,0.997863969,2
39889,774.676,318.6391545,159.8224434,1.99370719,0.865112329,40193,225.3624907,0.729926072,0.992436494,0.835262166,0.707265531,0.007988146,0.001232979,0.500224531,0.997301244,3
59720,966.881,400.7188567,191.6435189,2.090959606,0.878224113,60505,275.749643,0.810026314,0.987025866,0.802756094,0.688137427,0.006709961,0.000928112,0.473533118,0.990138623,3
36857,719.306,269.4644365,174.3779527,1.545289598,0.762381461,37216,216.6282297,0.774892776,0.990353611,0.895163737,0.80392141,0.007311079,0.001883717,0.646289633,0.998704647,2
30109,648.076,244.3649465,157.2617062,1.553874446,0.765401856,30471,195.795734,0.787534003,0.988119852,0.900853807,0.801243128,0.00811601,0.002063382,0.641990549,0.997572709,2
30464,654.484,246.0865851,158.0597127,1.556921628,0.766459124,30832,196.9466158,0.790451479,0.988064349,0.893714333,0.800314311,0.008077947,0.002044199,0.640502997,0.997212968,2
45147,819.219,318.0026771,181.4369533,1.752689688,0.821261719,45652,239.7560129,0.692608616,0.988938053,0.845354227,0.753943379,0.007043717,0.001403901,0.568430619,0.996282484,5
37835,718.282,263.8910757,183.008128,1.441963691,0.720457841,38255,219.483526,0.793918919,0.989021043,0.921538822,0.831720153,0.006974787,0.002058826,0.691758414,0.997490515,2
39520,731.357,272.9724152,184.912273,1.476226595,0.735612312,39910,224.3176917,0.798093623,0.990228013,0.928470169,0.82175956,0.006907197,0.001942946,0.675288774,0.996879247,2
53174,876.633,330.7512978,205.7273237,1.607716913,0.783017202,53778,260.1984619,0.714589045,0.988768641,0.869507965,0.786689164,0.00622017,0.001469585,0.61887984,0.994983586,3
32418,667.503,248.8889187,166.5412733,1.494457883,0.7431373,32777,203.1646612,0.7797662,0.989047198,0.914301933,0.816286487,0.007677491,0.002102662,0.66632363,0.995792601,2
34514,694.842,245.7206579,180.4311069,1.361853076,0.678832016,34944,209.6296488,0.812935745,0.987694597,0.898324068,0.853121795,0.007119449,0.002326324,0.727816797,0.991179544,2
36074,700.359,249.7183953,184.1540683,1.356029751,0.675405064,36479,214.314823,0.788399336,0.988897722,0.924193133,0.858226014,0.006922393,0.002316555,0.73655189,0.998786276,2
74591,1081.147,407.1534413,236.7925695,1.719451932,0.813488739,76122,308.1756169,0.7604498,0.979887549,0.801912159,0.756902891,0.005458479,0.001105127,0.572901987,0.985077429,1
26926,603.383,220.6351357,156.2702038,1.411882305,0.705937297,27296,185.1573601,0.815395797,0.9864449,0.9293848,0.839201605,0.00819413,0.002506962,0.704259335,0.994331293,2
33146,684.369,265.2515198,159.3188124,1.664910225,0.799524869,33479,205.4331958,0.6881332,0.990053466,0.889324654,0.774484519,0.00800252,0.001776059,0.599826271,0.998656891,2
60794,984.123,396.8343705,196.1712129,2.022898083,0.86926848,61447,278.2181246,0.775681021,0.989372956,0.788808932,0.70109382,0.006527525,0.000972821,0.491532544,0.994320241,3
39175,737.322,276.8570619,180.4153918,1.53455345,0.758515178,39602,223.336426,0.712272727,0.989217716,0.905533422,0.806684953,0.007067187,0.001846045,0.650740613,0.998596253,2
78121,1069.584,412.3801112,242.3737879,1.701422067,0.809047225,78892,315.3834911,0.702185989,0.990227146,0.858119681,0.764788317,0.005278736,0.001113973,0.584901169,0.995163757,1
26264,599.479,221.7402597,151.2012457,1.466524026,0.731459863,26596,182.8670648,0.800682885,0.98751692,0.918380778,0.824690406,0.008442745,0.002408947,0.680114266,0.997403912,2
30161,639.838,232.6757118,165.4373625,1.406427837,0.703170578,30509,195.9647364,0.794505031,0.98859353,0.925796516,0.842222572,0.007714456,0.002394377,0.70933886,0.997633919,2
26606,600.688,222.9584729,152.2144511,1.464765476,0.730695842,26902,184.0538273,0.793261777,0.988997101,0.926598384,0.825507212,0.008380007,0.002400533,0.681462157,0.99818224,2
35576,712.571,277.0520732,163.9165902,1.69020154,0.806198299,36029,212.8303786,0.694098137,0.987426795,0.880462155,0.768196304,0.007787612,0.001672911,0.590125561,0.997431132,2
38554,729.22,276.039205,178.3546308,1.547698558,0.763235288,38941,221.5591962,0.703591503,0.990061888,0.911091855,0.802636699,0.007159807,0.001832978,0.64422567,0.997067141,2
28657,632.81,243.0925497,150.4128659,1.616168593,0.78559006,28973,191.0162968,0.787474925,0.989093294,0.8992779,0.785776022,0.008482833,0.001994875,0.617443957,0.997893531,2
26322,602.187,222.06245,151.3356152,1.467350892,0.73181788,26670,183.0688704,0.715972147,0.986951631,0.912149443,0.824402641,0.008436382,0.002403773,0.679639715,0.997269943,2
29080,623.192,228.7066227,162.0935662,1.410954352,0.70546963,29360,192.4209083,0.797805213,0.990463215,0.940936958,0.841343841,0.007864739,0.00243085,0.707859458,0.998757383,2
31561,670.206,250.332706,161.1729478,1.553193072,0.76516439,32017,200.4612513,0.753857546,0.985757566,0.882966032,0.800779309,0.00793171,0.002011861,0.641247501,0.995981177,2
40234,760.325,277.2965658,186.0181077,1.490696627,0.741613597,40724,226.3349726,0.789645156,0.987967783,0.874590054,0.816219891,0.006892095,0.001886947,0.66621491,0.993124319,2
38071,717.993,264.2306153,183.7717131,1.43781984,0.718528586,38445,220.1669882,0.797081423,0.990271817,0.928033659,0.833237996,0.00694047,0.002063692,0.694285557,0.998257549,2
23226,571.287,207.3553129,142.7751858,1.452320385,0.725185733,23524,171.9658736,0.79,0.987332086,0.894284292,0.829329479,0.008927724,0.002605127,0.687787384,0.998887639,2
26545,599.623,221.6838872,152.7359827,1.451418869,0.724779417,26844,183.8427146,0.745646067,0.988861571,0.92776082,0.829301204,0.008351248,0.002436578,0.687740487,0.99819952,2
74553,1068.695,363.2833119,261.7500136,1.387901788,0.693442389,75840,308.0971077,0.732527634,0.983030063,0.82029003,0.848090451,0.004872819,0.001554994,0.719257413,0.998258649,0
40537,744.333,278.4353279,185.95859,1.497297478,0.744277987,40961,227.1856321,0.798318169,0.98964869,0.919447468,0.815936806,0.006868671,0.001877927,0.665752871,0.996830095,2
44928,766.3,269.9416282,212.1921254,1.272156673,0.618141683,45295,239.1737993,0.794510858,0.99189756,0.961455745,0.886020437,0.006008316,0.00228406,0.785032214,0.99868397,4
34304,690.332,261.5908535,167.3115206,1.563495763,0.76871423,34717,208.9909312,0.693514475,0.988103811,0.904562578,0.79892293,0.007625666,0.00191636,0.638277848,0.997944712,2
79790,1160.791,425.1604783,239.5172087,1.775072783,0.826213463,81401,318.7346597,0.680529139,0.980209088,0.744132486,0.749680829,0.005328493,0.001038221,0.562021345,0.997628793,0
36926,716.403,262.2363601,179.6527043,1.459685013,0.72846849,37348,216.8309098,0.796488428,0.988700868,0.904122626,0.826852957,0.007101673,0.00204764,0.683685812,0.997965934,2
34125,678.726,242.355486,179.681698,1.348804517,0.671066371,34511,208.4449555,0.784302459,0.98881516,0.930879684,0.860079377,0.007101992,0.002397254,0.739736535,0.997759981,2
27874,625.109,240.7765137,147.781341,1.629275469,0.78948508,28153,188.3886384,0.786956522,0.990089866,0.896391349,0.782421157,0.008638032,0.001996903,0.612182867,0.997414527,2
27427,612.889,233.6518351,149.6634735,1.561181427,0.767924353,27664,186.8719909,0.737999139,0.991432909,0.917538966,0.799788244,0.008519045,0.00215016,0.639661236,0.99862724,2
30545,651.016,239.356224,163.1079262,1.467471444,0.731870011,30898,197.2082703,0.705736928,0.988575312,0.90566309,0.823911186,0.007836183,0.00222744,0.678829642,0.996163115,2
28735,626.796,237.5535597,154.265672,1.539899037,0.760452787,29049,191.2760788,0.797397047,0.989190678,0.919112416,0.805191381,0.008267046,0.002143515,0.64833316,0.998367608,2
33816,687.426,252.7570007,170.7938506,1.479895205,0.737155155,34229,207.4990806,0.789355742,0.987934208,0.89924947,0.820942961,0.00747448,0.002094173,0.673947345,0.997371445,2
27280,603.203,223.0210859,156.1554337,1.428199331,0.713964034,27550,186.3705309,0.760418118,0.990199637,0.942165602,0.835663274,0.00817526,0.002459272,0.698333108,0.997358878,2
45780,796.285,301.5844126,193.7474165,1.556585466,0.766342864,46186,241.4309557,0.794543372,0.991209457,0.907295136,0.80054189,0.006587689,0.001668972,0.640867318,0.997564752,5
33226,676.869,255.1960511,165.9358357,1.537920064,0.759738401,33569,205.6809595,0.716602683,0.98978224,0.911336315,0.805972344,0.007680613,0.0019992,0.64959142,0.999019678,2
40274,744.945,269.2312798,191.0709049,1.409064766,0.7045135,40742,226.447454,0.793889217,0.988513082,0.911981882,0.841088948,0.00668499,0.002063708,0.707430619,0.99681556,2
29667,662.939,254.3430983,148.6025845,1.71156578,0.811566299,30063,194.3532803,0.703459559,0.986827662,0.848274395,0.764138212,0.008573267,0.001803075,0.583907207,0.999395593,2
51877,878.699,343.8191404,194.9945121,1.763224701,0.823619554,53063,257.0055405,0.681874343,0.977649209,0.844314899,0.747502132,0.006627583,0.001276394,0.558759438,0.985218442,5
33037,678.063,263.7833569,160.0818022,1.647803519,0.794802277,33357,205.0951361,0.820835818,0.990406811,0.902963871,0.777513557,0.007984483,0.001799942,0.604527331,0.996142263,2
28547,632.851,224.4680577,163.4534937,1.373283939,0.685384315,28958,190.6493359,0.725003175,0.985807031,0.895709948,0.849338378,0.007863105,0.002524043,0.72137568,0.990653635,2
40708,752.843,275.1620322,188.6059943,1.45892517,0.728132771,41209,227.6643042,0.784535924,0.987842462,0.902569797,0.827382697,0.006759409,0.001953954,0.684562127,0.998724917,2
29251,624.585,229.6995259,162.3417064,1.414913832,0.70745657,29532,192.9858283,0.718627162,0.990484898,0.942252898,0.84016642,0.007852707,0.002413573,0.705879613,0.998758828,2
25380,582.891,216.6782868,149.4362833,1.449971065,0.724124823,25623,179.7632322,0.792258467,0.990516333,0.938699923,0.829631962,0.008537364,0.002494856,0.688289192,0.997999413,2
37112,713.042,262.3894128,180.8135592,1.451160046,0.724662583,37509,217.3763234,0.740581098,0.989415874,0.917263263,0.828449293,0.007070204,0.002054355,0.68632823,0.995972106,2
30210,651.194,254.8002569,151.3874572,1.683100183,0.804360394,30507,196.1238554,0.788608124,0.990264529,0.89524068,0.769716082,0.008434302,0.001826212,0.592462846,0.997174325,2
37202,710.557,253.507875,188.0286089,1.348240975,0.670723842,37739,217.6397426,0.770866142,0.985770688,0.925930325,0.858512749,0.006814361,0.002283452,0.73704414,0.99371311,2
37891,718.675,264.2326231,183.1033861,1.443078845,0.720973312,38300,219.6458959,0.708772914,0.989321149,0.921893718,0.831259567,0.006973493,0.002053888,0.690992468,0.997156613,2
38835,731.002,265.5689357,186.4132501,1.424624782,0.712236856,39281,222.365145,0.75148032,0.98864591,0.913263379,0.837316098,0.006838392,0.00207344,0.701098248,0.998801938,2
35884,703.317,262.880889,174.0389743,1.510471376,0.7494641,36263,213.749685,0.710517979,0.989548576,0.911608744,0.813104695,0.007325852,0.001975258,0.661139245,0.998631905,2
34129,680.157,244.0174548,178.7571063,1.365078345,0.680703878,34572,208.4571717,0.767426695,0.987186162,0.927075456,0.85427156,0.007149857,0.00234888,0.729779898,0.996206735,2
36522,706.641,258.5101796,180.2577811,1.434113845,0.716784546,36918,215.6414957,0.732770209,0.989273525,0.919108436,0.834170229,0.007078204,0.002114081,0.69583997,0.997913736,2
26989,603.446,209.2363658,164.9686621,1.268340078,0.615121828,27389,185.3738441,0.724887194,0.985395597,0.931364824,0.885954234,0.007752654,0.002946289,0.784914904,0.995539031,2
71598,1066.952,400.0596424,228.747662,1.748912487,0.820404274,72858,301.9294701,0.664038879,0.982706086,0.790352791,0.754711143,0.005587581,0.001118218,0.56958891,0.996161157,0
36960,706.565,256.8048435,183.8085404,1.397132272,0.698354708,37357,216.9307115,0.760916559,0.989372808,0.930331199,0.844729829,0.006948183,0.00218234,0.713568483,0.996949556,2
42827,798.445,315.100763,173.405675,1.817130627,0.834955036,43517,233.5145177,0.740016934,0.984144128,0.844184757,0.741078871,0.007357526,0.001368892,0.549197893,0.997964312,5
32032,662.22,243.3074442,167.778285,1.450172436,0.724216022,32373,201.9515018,0.729824561,0.989466531,0.917887243,0.830025988,0.007595762,0.002223913,0.688943142,0.999086354,2
29154,631.041,233.5074911,159.3296519,1.465562049,0.731042361,29499,192.6655799,0.747385152,0.988304688,0.920010659,0.825093786,0.00800945,0.00228979,0.680779756,0.997724974,2
